"Countries","Total","ToT","VoT"
"Argentina    ","0.583878935090573","0.100343557617581","0.483535377472992"
"Australia    ","0.301758109895073","-0.0100115701323502","0.311769680027423"
"Austria      ","2.02030328420344","0.383855000444029","1.63644828375941"
"Brazil       ","0.322562760178472","-0.10354173658804","0.426104496766512"
"Canada       ","0.0985245447982771","-0.0760832489617713","0.174607793760048"
"Chile        ","0.261103313707521","-0.520242052689107","0.781345366396629"
"China        ","13.8970537521446","-1.67545388259589","15.5725076347405"
"Denmark      ","0.0824763944216831","-0.12635588933203","0.208832283753713"
"Finland      ","0.778699023529473","0.117770274886476","0.660928748642997"
"France       ","0.252286952566558","0.0980291362561863","0.154257816310372"
"Germany      ","0.118144124604438","-0.0330296394313819","0.15117376403582"
"Greece       ","1.1488606878472","1.01448330485469","0.134377382992511"
"Hungary      ","1.6256607568344","-0.155283123287845","1.78094388012224"
"India        ","3.64391397887832","-0.717422577377829","4.36133655625614"
"Indonesia    ","1.91440265451289","-0.541430181431543","2.45583283594443"
"Ireland      ","0.194108890831256","-0.0379310255223802","0.232039916353636"
"Italy        ","0.097713754332253","-0.0508407781790264","0.148554532511279"
"Japan        ","0.207576279468768","0.130454406928708","0.07712187254006"
"Korea        ","0.196482456319085","-0.208259162624957","0.404741618944042"
"Mexico       ","1.36162537716121","-0.403368425323094","1.76499380248431"
"Netherlands  ","0.0952696653151865","-0.0693128220463305","0.164582487361517"
"New Zealand  ","0.705398034612748","-0.139032662473646","0.844430697086394"
"Norway       ","0.536671388183129","0.339360280093313","0.197311108089815"
"Portugal     ","12.6954377304507","11.4820326786928","1.21340505175788"
"SouthAfrica  ","1.87102859341579","0.0382776321143567","1.83275096130144"
"Spain        ","0.669045531286304","0.488515525798943","0.180530005487361"
"Sweden       ","0.843340611628577","0.383707902355995","0.459632709272582"
"Turkey       ","0.529047733473078","0.198212544301585","0.330835189171493"
"UK           ","0.0433817306656063","-0.105066410908006","0.148448141573612"
"USA          ","0.222051111105602","0.109152860420313","0.112898250685289"
"ROW          ","2.82922121411804","-0.217079521518359","3.04630073563639"
